PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,DRAFT_ROUND,DRAFT_NUMBER
202378,Willie,Warren,Willie Warren,SG-PG,74.5,6' 2.5'',208.4,78,6' 6'',99.5,8' 3.5'',2010,2,54
202358,Terrico,White,Terrico White,SG-PG,75.75,6' 3.75'',202.6,81,6' 9'',101,8' 5'',2010,2,36
202355,Hassan,Whiteside,Hassan Whiteside,C-PF,82.5,6' 10.5'',226.6,91,7' 7'',113,9' 5'',2010,2,33
202728,Keith,Benson,Keith Benson,C-PF,82,6' 10'',217,87.75,7' 3.75'',109.5,9' 1.5'',2011,2,48
202705,Marshon,Brooks,Marshon Brooks,SG,76.25,6' 4.25'',194.6,85,7' 1'',101,8' 5'',2011,-1,-1
202692,Alec,Burks,Alec Burks,SG,77,6' 5'',192.6,82,6' 10'',103.5,8' 7.5'',2011,1,12
202710,Jimmy,Butler,Jimmy Butler,SF,78,6' 6'',222.2,79.5,6' 7.5'',101.5,8' 5.5'',2011,1,30
202708,Norris,Cole,Norris Cole,PG,72.25,6' 0.25'',174.4,74.25,6' 2.25'',95.5,7' 11.5'',2011,1,28
202739,Jon,Diebler,Jon Diebler,SG,77.25,6' 5.25'',196.6,78,6' 6'',99,8' 3'',2011,2,51
12406,Michael,Dunigan,Michael Dunigan,PF-C,80.5,6' 8.5'',237.6,87.25,7' 3.25'',107.5,8' 11.5'',2011,-1,-1
12407,LaceDarius,Dunn,LaceDarius Dunn,SG,75,6' 3'',187.8,78.25,6' 6.25'',101,8' 5'',2011,-1,-1
202702,Kenneth,Faried,Kenneth Faried,PF,78,6' 6'',224.6,84,7' 0'',108,9' 0'',2011,1,22
12409,James,Fredette,James Fredette,PG,72.75,6' 0.75'',196,76.5,6' 4.5'',96.5,8' 0.5'',2011,-1,-1
202726,Andrew,Goudelock,Andrew Goudelock,PG,73.25,6' 1.25'',197.6,76.25,6' 4.25'',96.5,8' 0.5'',2011,2,46
202706,Jordan,Hamilton,Jordan Hamilton,SF,78.75,6' 6.75'',228.4,81.5,6' 9.5'',104,8' 8'',2011,1,26
202712,Justin,Harper,Justin Harper,PF-SF,80,6' 8'',228,83.75,6' 11.75'',106,8' 10'',2011,2,32
202699,Tobias,Harris,Tobias Harris,SF-PF,78.5,6' 6.5'',222.8,83,6' 11'',103.5,8' 7.5'',2011,1,19
202715,Tyler,Honeycutt,Tyler Honeycutt,SF,78.75,6' 6.75'',186.8,81,6' 9'',105,8' 9'',2011,2,35
12415,Scotty,Hopson,Scotty Hopson,SG,77.75,6' 5.75'',204.6,82.5,6' 10.5'',103.5,8' 7.5'',2011,-1,-1
12417,Rick,Jackson,Rick Jackson,PF,80.25,6' 8.25'',241.8,86,7' 2'',106.5,8' 10.5'',2011,-1,-1
202724,Charles,Jenkins,Charles Jenkins,PG-SG,73.5,6' 1.5'',216.4,79.5,6' 7.5'',96.5,8' 0.5'',2011,2,44
