BIG_BOARD,NAME,GRADE,POSITION,COLLEGE,COLLEGE_YEAR,DRAFT_YEAR
20,TonySnell,92,SG/SF,New Mexico,Jr.,2013
21,NateWolters,91,PG,South Dakota St.,Sr.,2013
22,SergeyKarasev,91,SG/SF,BC Triumph,1993,2013
23,ShaneLarkin,0,PG,Miami,So.,2013
24,GorguiDieng,91,C,Louisville,Jr.,2013
25,MasonPlumlee,91,PF,Duke,Sr.,2013
26,LivioJean-Charles,75,SF/PF,ASVEL Villeubanne,1993,2013
27,AllenCrabbe,90,SG,California,Jr.,2013
28,ErickGreen,89,PG/SG,Virginia Tech,Sr.,2013
29,IsaiahCanaan,91,PG,Murray St.,Sr.,2013
30,RudyGobert,90,C,Cholet,1992,2013
31,ReggieBullock,88,SG/SF,North Carolina,Jr.,2013
32,JamaalFranklin,89,SG/SF,San Diego St.,Jr.,2013
33,GlenRice,89,SG,USA,Jr.,2013
34,RicardoLedo,90,SG,Providence,Fr.,2013
35,LorenzoBrown,90,PG/SG,NC State,Jr.,2013
36,JeffWithey,89,C,Kansas,Sr.,2013
37,CJLeslie,75,SF/PF,NC State,Jr.,2013
38,JamesEnnis,90,SG/SF,Long Beach State,Sr.,2013
39,RobertCovington,88,SF,Tennessee State,Sr.,2013
40,JamesSoutherland,82,SF/PF,Syracuse,Sr.,2013
41,PierreJackson,89,PG,Baylor,Sr.,2013
42,MyckKabongo,88,PG,Texas,So.,2013
43,ErikMurphy,86,PF,Florida,Sr.,2013
44,KennyKadji,88,PF/C,Miami,Sr.,2013
45,TrevorMbakwe,89,PF/C,Minnesota,Sr.,2013
46,RodneyWilliams,87,SF,Minnesota,Sr.,2013
47,BojanDubljevic,87,PF/C,Valencia,1991,2013
48,DeShaunThomas,74,SF/PF,Ohio St.,Jr.,2013
49,RyanKelly,87,PF,Duke,Sr.,2013
50,ArchieGoodwin,89,SG,Kentucky,Fr.,2013
51,GrantJerrett,87,PF,Arizona,Fr.,2013
52,RayMcCallum,88,PG,Detroit,Jr.,2013
53,AlexAbrines,87,SG,Barcelona Regal,1993,2013
54,DewayneDedmon,87,C,USC,Jr.,2013
55,CarrickFelix,89,SG/SF,Arizona St.,Sr.,2013
56,JanisTimma,85,SF,Ventspils,1992,2013
57,PeytonSiva,86,PG,Louisville,Sr.,2013
58,NemanjaNedovic,88,PG/SG,Lietuvos Rytas,1991,2013
59,AndreRoberson,87,SF/PF,Colorado,Jr.,2013
60,SolomonHill,89,SF,Arizona,Sr.,2013
61,AdonisThomas,87,SF,Memphis,So.,2013
62,JackieCarmichael,0,PF,Illinois State,Sr.,2013
63,VanderBlue,0,PG/SG,Marquette,Jr.,2013
64,VitalisChikoko,0,PF/C,TBB Trier,1991,2013
65,AmathMbaye,85,SF,Oklahoma,Jr.,2013
66,BrandonPaul,89,SG,Illinois,Sr.,2013
67,DJStephens,0,SG/SF,Memphis,Sr.,2013
