,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter,norm_sal
226,Korleone Young,287500,1998,Small Forward,3,5.3,20.3,40.0,0,0.0155405405405405
227,Tariq Abdul-Wahad,1594920,1999,Shooting Guard,61,25.8,8.2,11.0,2,0.0930369953481502
228,Shareef Abdur-Rahim,9000000,1999,Center and Small Forward and Power Forward,82,39.3,14.4,3.0,3,0.5249999737500013
229,Ray Allen,9000000,1999,Shooting Guard,82,37.5,13.2,5.0,3,0.5249999737500013
230,Rafer Alston,301875,1999,Point Guard,27,13.3,3.3,39.0,1,0.0176093741195312
231,Derek Anderson,1439400,1999,Shooting Guard and Small Forward and Point Guard,64,34.4,11.0,13.0,2,0.0839649958017502
232,Shandon Anderson,2000000,1999,Small Forward and Shooting Guard,82,33.0,9.1,54.0,3,0.1166666608333336
233,Chris Anstey,1113720,1999,Center,73,13.8,11.0,18.0,2,0.0649669967516501
234,William Avery,1196520,1999,Point Guard,59,8.1,3.7,14.0,0,0.0697969965101501
235,Toby Bailey,535000,1999,Shooting Guard,46,9.8,6.3,45.0,1,0.0312083317729167
236,Drew Barry,62765,1999,Shooting Guard and Point Guard,16,9.9,6.5,57.0,3,0.003661291483602
237,Tony Battie,2530920,1999,Center and Power Forward,82,18.3,9.1,5.0,2,0.1476369926181503
238,Jonathan Bender,2214600,1999,Small Forward,24,5.5,1.9,5.0,0,0.1291849935407503
239,Corey Benjamin,696000,1999,Shooting Guard and Point Guard,48,18.0,4.6,28.0,1,0.0405999979700001
240,Mike Bibby,3092400,1999,Point Guard,82,38.5,11.6,2.0,1,0.1803899909805004
241,Chauncey Billups,3100080,1999,Point Guard and Shooting Guard,13,23.5,7.7,3.0,2,0.1808379909581004
242,Calvin Booth,301875,1999,Center,11,12.9,4.3,35.0,0,0.0176093741195312
243,Cal Bowdler,1025880,1999,Small Forward and Power Forward,46,9.1,6.1,17.0,0,0.0598429970078501
244,Ryan Bowen,301875,1999,Small Forward and Power Forward and Shooting Guard,52,11.3,4.7,55.0,1,0.0176093741195312
245,A.J. Bramlett,118974,1999,Center,8,7.6,-4.7,39.0,0,0.0069401496529925
246,Elton Brand,3375960,1999,Power Forward and Center,81,37.0,14.2,1.0,0,0.1969309901534505
247,Marcus Brown,43294,1999,Point Guard and Shooting Guard,6,7.6,-2.2,46.0,3,0.0025254832070591
248,Kobe Bryant,9000000,1999,Shooting Guard and Small Forward,66,38.2,14.9,13.0,3,0.5249999737500013
249,Greg Buckner,47647,1999,Shooting Guard and Small Forward,48,19.2,6.5,53.0,1,0.0027794081943629
250,Rodney Buford,301875,1999,Shooting Guard and Small Forward,34,11.3,7.1,53.0,0,0.0176093741195312
251,Marcus Camby,5250000,1999,Center and Power Forward,59,26.2,12.4,2.0,3,0.3062499846875007
252,Vince Carter,2267280,1999,Small Forward and Shooting Guard,82,38.1,14.7,5.0,1,0.1322579933871003
253,Kelvin Cato,1299000,1999,Center and Power Forward,65,24.3,10.0,15.0,2,0.0757749962112502
254,John Celestand,301875,1999,Point Guard,16,11.5,1.0,30.0,0,0.0176093741195312
255,Keon Clark,1289400,1999,Power Forward and Center,81,22.9,10.9,13.0,1,0.0752149962392501
256,Chris Crawford,2000000,1999,Power Forward,55,12.1,5.8,50.0,2,0.1166666608333336
257,Austin Croshere,1515120,1999,Power Forward,81,23.3,11.9,12.0,2,0.0883819955809002
258,Vonteego Cummings,704400,1999,Point Guard,75,23.9,8.4,26.0,0,0.0410899979455001
259,Erick Dampier,4988000,1999,Center,21,23.5,4.9,10.0,3,0.290966652118334
260,Antonio Daniels,2794920,1999,Shooting Guard and Point Guard,68,17.5,10.6,4.0,2,0.1630369918481504
261,Baron Davis,2712480,1999,Point Guard,82,18.6,8.5,3.0,0,0.1582279920886004
262,Ben Davis,45847,1999,Power Forward,5,4.1,7.5,43.0,3,0.0026744081996129
263,Ricky Davis,878160,1999,Small Forward and Shooting Guard,48,11.9,9.9,21.0,1,0.0512259974387001
