,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
211,Miles Simon,287500,1998,Shooting Guard,5,3.7,-5.9,42.0,0
212,Brian Skinner,653500,1998,Center and Power Forward,21,12.2,8.2,22.0,0
213,Charles Smith,4375143,1998,Power Forward and Small Forward,23,13.7,1.7,26.0,1
214,Charles Smith,677080,1998,Shooting Guard,23,13.7,1.7,26.0,1
215,Ryan Stack,287500,1998,Power Forward,18,11.2,3.5,48.0,0
216,Vladimir Stepania,543000,1998,Center,23,13.5,4.5,27.0,0
217,Bruno Sundov,287500,1998,Center,3,3.6,-12.5,35.0,0
218,Johnny Taylor,1037000,1998,Small Forward,36,20.1,4.4,17.0,1
219,Maurice Taylor,1209000,1998,Small Forward and Center and Power Forward,46,32.7,7.5,14.0,1
220,John Thomas,737000,1998,Power Forward and Center,39,15.2,7.4,25.0,1
221,Tim Thomas,1856000,1998,Power Forward and Small Forward,50,16.3,8.4,7.0,1
222,Robert Traylor,1590000,1998,Power Forward and Center,49,16.0,7.8,6.0,0
223,Mirsad Turkcan,739400,1998,Power Forward,0,0.0,0.0,18.0,0
224,Keith Van Horn,3054000,1998,Power Forward and Small Forward,42,37.5,13.3,2.0,1
225,Jacque Vaughn,691560,1998,Shooting Guard and Point Guard,19,4.5,9.1,27.0,1
226,Antoine Walker,2107000,1998,Power Forward,42,36.9,10.7,6.0,2
227,Samaki Walker,1619880,1998,Power Forward and Center,39,14.5,7.0,9.0,2
228,John Wallace,1021000,1998,Small Forward,48,16.9,9.2,18.0,2
229,Eric Washington,520000,1998,Shooting Guard,38,20.1,4.6,46.0,1
230,Bonzi Wells,1100000,1998,Small Forward and Shooting Guard,7,5.1,13.7,11.0,0
231,DeJuan Wheat,350000,1998,Point Guard,46,12.8,8.5,51.0,1
232,Jason Williams,1460000,1998,Point Guard,50,36.1,8.6,7.0,0
233,Jerome Williams,737880,1998,Power Forward and Small Forward,50,23.1,12.6,26.0,2
234,Lorenzen Wright,1923000,1998,Center,48,23.6,9.4,7.0,2
235,Korleone Young,287500,1998,Small Forward,3,5.3,20.3,40.0,0
236,Tariq Abdul-Wahad,1594920,1999,Shooting Guard,61,25.8,8.2,11.0,2
237,Shareef Abdur-Rahim,9000000,1999,Center and Small Forward and Power Forward,82,39.3,14.4,3.0,3
238,Ray Allen,9000000,1999,Shooting Guard,82,37.5,13.2,5.0,3
239,Rafer Alston,301875,1999,Point Guard,27,13.3,3.3,39.0,1
240,Derek Anderson,1439400,1999,Shooting Guard and Small Forward and Point Guard,64,34.4,11.0,13.0,2
241,Shandon Anderson,2000000,1999,Small Forward and Shooting Guard,82,33.0,9.1,54.0,3
242,Chris Anstey,1113720,1999,Center,73,13.8,11.0,18.0,2
243,William Avery,1196520,1999,Point Guard,59,8.1,3.7,14.0,0
244,Toby Bailey,535000,1999,Shooting Guard,46,9.8,6.3,45.0,1
